variant_id,Product Name,SKU Product,Product Type,Category I,Category II,ASIN,Type Product II
41200104603845,18oz Box Dreamy Dunes,41200104603845,18oz candle,18oz candle,Dreamy Dunes,B09NL647PY,Scent Products
41854464262341,18oz Box Festive Fir,42345978003653,18oz candle,18oz candle,Festive Fir,B0BLT93JL2,Scent Products
41200107192517,18oz Box Lazy Lulu,41200107192517,18oz candle,18oz candle,Lazy Lulu,B09DKFFMJS,Scent Products
41200128753861,18oz Box Mellow Mocha,41200128753861,18oz candle,18oz candle,Mellow Mocha,B09DKJHGX1,Scent Products
41200129999045,18oz Box Misty Monte,41200129999045,18oz candle,18oz candle,Misty Monte,B09NJXSMDP,Scent Products
41200137240773,18oz Box Scent Free,41200137240773,18oz candle,18oz candle,Scent Free,B08NGSB7KM,Scent Products
41200143827141,18oz Box Sorry Sucker,41200143827141,18oz candle,18oz candle,Sorry Sucker,B09DK44MVP,Scent Products
41854463672517,18oz Box Yummy Yule,41854463672517,18oz candle,18oz candle,Yummy Yule,B0BLT6C89L,Scent Products
41200148480197,18oz Box Zesty Zen,41200148480197,18oz candle,18oz candle,Zesty Zen,B09DK3CWRT,Scent Products
42347040440517,18oz Box Mulled Magic,42347040440517,18oz candle,18oz candle,Mulled Magic,B0CHMWGTHP,Scent Products
40863057445061,18oz Box Dreamy Dunes + Vase,40863057445061,18oz candle,18oz candle + Vase,Dreamy Dunes,-,Scent Products
41491463176389,18oz Box Festive Fir + Vase,41491463176389,18oz candle,18oz candle + Vase,Festive Fir,-,Scent Products
40863057477829,18oz Box Lazy Lulu + Vase,40863057477829,18oz candle,18oz candle + Vase,Lazy Lulu,-,Scent Products
40863057510597,18oz Box Mellow Mocha + Vase,40863057510597,18oz candle,18oz candle + Vase,Mellow Mocha,-,Scent Products
40863057543365,18oz Box Misty Monte + Vase,40863057543365,18oz candle,18oz candle + Vase,Misty Monte,-,Scent Products
40863085854917,18oz Box Scent Free + Vase,40863085854917,18oz candle,18oz candle + Vase,Scent Free,-,Scent Products
40863057576133,18oz Box Sorry Sucker + Vase,40863057576133,18oz candle,18oz candle + Vase,Sorry Sucker,-,Scent Products
41491466518725,18oz Box Yummy Yule + Vase,41491466518725,18oz candle,18oz candle + Vase,Yummy Yule,-,Scent Products
40863057608901,18oz Box Zesty Zen + Vase,40863057608901,18oz candle,18oz candle + Vase,Zesty Zen,-,Scent Products
42355999211717,18oz Box Mulled Magic + Vase,42355999211717,18oz candle,18oz candle + Vase,Mulled Magic,-,Scent Products
41623698505925,2gal Pail Baby Blue,41623698505925,2gal bucket,2gal Colored,Baby Blue,-,Colored Products
41623752900805,2gal Pail Baby Pink,41623752900805,2gal bucket,2gal Colored,Baby Pink,-,Colored Products
41623698342085,2gal Pail Black,41623698342085,2gal bucket,2gal Colored,Black,-,Colored Products
41623752933573,2gal Pail Charcoal,41623752933573,2gal bucket,2gal Colored,Charcoal,-,Colored Products
41623698440389,2gal Pail Cherry Blossom,41623698440389,2gal bucket,2gal Colored,Cherry Blossom,-,Colored Products
41772057985221,2gal Pail Cloud,41772057985221,2gal bucket,2gal Colored,Cloud,-,Colored Products
42211569336517,2gal Pail Dark Emerald,42211569336517,2gal bucket,2gal Colored,Dark Emerald,,Colored Products
41623752966341,2gal Pail Desert Rose,41623752966341,2gal bucket,2gal Colored,Desert Rose,-,Colored Products
41772058116293,2gal Pail Espresso,41772058116293,2gal bucket,2gal Colored,Espresso,-,Colored Products
42216376369349,2gal Pail Ivory,42216376369349,2gal bucket,2gal Colored,Ivory,-,Colored Products
41623752999109,2gal Pail Lilac,41623752999109,2gal bucket,2gal Colored,Lilac,-,Colored Products
41772058050757,2gal Pail Nude,41772058050757,2gal bucket,2gal Colored,Nude,-,Colored Products
41623698407621,2gal Pail Olive,41623698407621,2gal bucket,2gal Colored,Olive,-,Colored Products
41772058083525,2gal Pail Pecan,41772058083525,2gal bucket,2gal Colored,Pecan,-,Colored Products
42247015170245,2gal Pail Pistachio,42247015170245,2gal bucket,2gal Colored,Pistachio,-,Colored Products
42011538555077,2gal Pail Plum ,42011538555077,2gal bucket,2gal Colored,Plum,-,Colored Products
42255650390213,2gal Pail Ocean Blue,42255650390213,2gal bucket,2gal Colored,Ocean Blue,-,Colored Products
41774378451141,2gal Pail Pumpkin,42255650357445,2gal bucket,2gal Colored,Pumpkin,-,Colored Products
42255650357445,2gal Pail Pumpkin,42255650357445,2gal bucket,2gal Colored,Pumpkin,-,Colored Products
41623698374853,2gal Pail Sand,41623698374853,2gal bucket,2gal Colored,Sand,-,Colored Products
41623753064645,2gal Pail Sangria,41623753064645,2gal bucket,2gal Colored,Sangria,-,Colored Products
41623698309317,2gal Pail White,41236833501381,2gal bucket,2gal Scented,Scent Free,B08QZFNL1F,Scent Products
41772058017989,2gal Pail Smokey Sage,41772058017989,2gal bucket,2gal Colored,Smokey Sage,-,Colored Products
42255648522437,2gal Pail Classic Navy,42255648522437,2gal bucket,2gal Colored,Classic Navy,-,Colored Products
42011539079365,2gal Pail Red,42011539079365,2gal bucket,2gal Colored,Red,-,Colored Products
42255650652357,2gal Pail Classic Navy + Vase set,42255650652357,2gal bucket,2gal Colored + Vase set,Classic Navy,-,Colored Products
41750474358981,2gal Pail Black + Vase set,41750474358981,2gal bucket,2gal Colored + Vase set,Black,-,Colored Products
41750474522821,2gal Pail Desert Rose + Vase set,41750474522821,2gal bucket,2gal Colored + Vase set,Desert Rose,-,Colored Products
41750474555589,2gal Pail Lilac + Vase set,41750474555589,2gal bucket,2gal Colored + Vase set,Lilac,-,Colored Products
41236833534149,2gal Pail Dreamy Dunes,41236833534149,2gal bucket,2gal Scented,Dreamy Dunes,B0BLT8NWJJ,Scent Products
41854470422725,2gal Pail Festive Fir,41854470422725,2gal bucket,2gal Scented,Festive Fir,B0BLT5SY12,Scent Products
41236833566917,2gal Pail Lazy Lulu,41236833566917,2gal bucket,2gal Scented,Lazy Lulu,B0BLT7MF67,Scent Products
41236833599685,2gal Pail Mellow Mocha,41236833599685,2gal bucket,2gal Scented,Mellow Mocha,B0BLTBRK9Z,Scent Products
41236833632453,2gal Pail Misty Monte,41236833632453,2gal bucket,2gal Scented,Misty Monte,B0BLT4KLZF,Scent Products
41236833501381,2gal Pail Scent Free,41236833501381,2gal bucket,2gal Scented,Scent Free,B08QZFNL1F,Scent Products
41236833665221,2gal Pail Sorry Sucker,41236833665221,2gal bucket,2gal Scented,Sorry Sucker,B0BLT7NC3P,Scent Products
41854470455493,2gal Pail Yummy Yule,41854470455493,2gal bucket,2gal Scented,Yummy Yule,B0BLT414TZ,Scent Products
41236833697989,2gal Pail Zesty Zen,41236833697989,2gal bucket,2gal Scented,Zesty Zen,B0BLT84RR5,Scent Products
42347044143301,2gal Pail Mulled Magic,42347044143301,2gal bucket,2gal Scented,Mulled Magic,B0CHN186N7,Scent Products
41744179003589,2gal Pail Dreamy Dunes + Vase set,41744179003589,2gal bucket,2gal Scented + Vase set,Dreamy Dunes,-,Scent Products
41854487167173,2gal Pail Festive Fir + Vase set,41854487167173,2gal bucket,2gal Scented + Vase set,Festive Fir,-,Scent Products
41744179036357,2gal Pail Lazy Lulu + Vase set,41744179036357,2gal bucket,2gal Scented + Vase set,Lazy Lulu,-,Scent Products
41744179069125,2gal Pail Mellow Mocha + Vase set,41744179069125,2gal bucket,2gal Scented + Vase set,Mellow Mocha,-,Scent Products
41744179101893,2gal Pail Misty Monte + Vase set,41744179101893,2gal bucket,2gal Scented + Vase set,Misty Monte,-,Scent Products
41744178970821,2gal Pail Scent Free + Vase set,41744178970821,2gal bucket,2gal Scented + Vase set,Scent Free,-,Scent Products
41744179134661,2gal Pail Sorry Sucker + Vase set,41744179134661,2gal bucket,2gal Scented + Vase set,Sorry Sucker,-,Scent Products
41744179167429,2gal Pail Zesty Zen + Vase set,41744179167429,2gal bucket,2gal Scented + Vase set,Zesty Zen,-,Scent Products
41960854487237,55Lb Bulk Bag  Charcoal,41960854487237,55lb bulk bag,55lb Bulk Bag,Charcoal,-,Colored Products
41960854520005,55Lb Bulk Bag  Cherry Blossom,41960854520005,55lb bulk bag,55lb Bulk Bag,Cherry Blossom,-,Colored Products
41610990354629,55Lb Bulk Bag  Cherry Blossom,41960854520005,55lb bulk bag,55lb Bulk Bag,Cherry Blossom,-,Colored Products
41960854552773,55Lb Bulk Bag  Desert Rose,41960854552773,55lb bulk bag,55lb Bulk Bag,Desert Rose,-,Colored Products
41610990387397,55Lb Bulk Bag  Desert Rose,41960854552773,55lb bulk bag,55lb Bulk Bag,Desert Rose,-,Colored Products
41960854585541,55Lb Bulk Bag  Lilac,41960854585541,55lb bulk bag,55lb Bulk Bag,Lilac,-,Colored Products
41960854421701,55Lb Bulk Bag Baby Blue,41960854421701,55lb bulk bag,55lb Bulk Bag,Baby Blue,-,Colored Products
41610940448965,55Lb Bulk Bag Baby Blue,41960854421701,55lb bulk bag,55lb Bulk Bag,Baby Blue,-,Colored Products
41960854454469,55Lb Bulk Bag Baby Pink,41960854454469,55lb bulk bag,55lb Bulk Bag,Baby Pink,-,Colored Products
41610990289093,55Lb Bulk Bag Baby Pink,41960854454469,55lb bulk bag,55lb Bulk Bag,Baby Pink,-,Colored Products
41610940416197,55Lb Bulk Bag Black,41610940416197,55lb bulk bag,55lb Bulk Bag,Black,-,Colored Products
41960854388933,55Lb Bulk Bag Black,41610940416197,55lb bulk bag,55lb Bulk Bag,Black,-,Colored Products
42200203100357,55Lb Bulk Bag Classic Navy,42200203100357,55lb bulk bag,55lb Bulk Bag,Classic Navy,-,Colored Products
41772034359493,55Lb Bulk Bag Cloud,41772034359493,55lb bulk bag,55lb Bulk Bag,Cloud,-,Colored Products
42200203198661,55Lb Bulk Bag Dark Emerald,42200203198661,55lb bulk bag,55lb Bulk Bag,Dark Emerald,-,Colored Products
42200202969285,55Lb Bulk Bag Ivory,42200202969285,55lb bulk bag,55lb Bulk Bag,Ivory,-,Colored Products
41771976425669,55Lb Bulk Bag Nude,41771976425669,55lb bulk bag,55lb Bulk Bag,Nude,-,Colored Products
41960854782149,55Lb Bulk Bag Nude,41771976425669,55lb bulk bag,55lb Bulk Bag,Nude,-,Colored Products
41771976458437,55Lb Bulk Bag Pecan,41960854814917,55lb bulk bag,55lb Bulk Bag,Pecan,-,Colored Products
41960854814917,55Lb Bulk Bag Pecan,41960854814917,55lb bulk bag,55lb Bulk Bag,Pecan,-,Colored Products
42169176326341,55Lb Bulk Bag Red,42169176326341,55lb bulk bag,55lb Bulk Bag,Red,-,Colored Products
41610990420165,55Lb Bulk Bag Sand,41610990420165,55lb bulk bag,55lb Bulk Bag,Sand,-,Colored Products
41960854716613,55Lb Bulk Bag Sangria,41960854716613,55lb bulk bag,55lb Bulk Bag,Sangria,-,Colored Products
41610940383429,55Lb Bulk Bag White,41610940383429,55lb bulk bag,55lb Bulk Bag,White,-,Colored Products
41960854356165,55Lb Bulk Bag White,41610940383429,55lb bulk bag,55lb Bulk Bag,White,-,Colored Products
41291517329605,55Lb Bulk Bag White,41610940383429,55lb bulk bag,55lb Bulk Bag,White,-,Colored Products
41291517296837,55Lb Bulk Bag White,41610940383429,55lb bulk bag,55lb Bulk Bag,White,-,Colored Products
41960860811461,55Lb Bulk Bag White,41610940383429,55lb bulk bag,55lb Bulk Bag,White,-,Colored Products
42224231514309,55Lb Bulk Bag White,41610940383429,55lb bulk bag,55lb Bulk Bag,White,-,Colored Products
41960856191173,55Lb Bulk Bag Lazy Lulu,41960856191173,55lb bulk bag,55lb Bulk Bag,Lazy Lulu,-,Scent Products
41960856420549,55Lb Bulk Bag Sorry Sucker,41960856420549,55lb bulk bag,55lb Bulk Bag,Sorry Sucker,-,Scent Products
41960856256709,55Lb Bulk Bag Zesty Zen,41960856256709,55lb bulk bag,55lb Bulk Bag,Zesty Zen,-,Scent Products
42181493031109,Sample All Color Bundle,42181493031109,Sample,Colored Sample,Bundle,-,Colored Sample
41339636875461,Sample Baby Blue,41339636875461,Sample,Colored Sample,Baby Blue,-,Colored Sample
41339636842693,Sample Baby Pink,41339636842693,Sample,Colored Sample,Baby Pink,-,Colored Sample
41339628683461,Sample Black,41339628683461,Sample,Colored Sample,Black,-,Colored Sample
42178855010501,Sample Boldss Bundle,42178855010501,Sample,Colored Sample,Bundle,-,Colored Sample
41339628781765,Sample Charcoal,41339628781765,Sample,Colored Sample,Charcoal,-,Colored Sample
41339636940997,Sample Cherry Blossom,41339636940997,Sample,Colored Sample,Cherry Blossom,-,Colored Sample
42183742390469,Sample Classic Navy,42183742390469,Sample,Colored Sample,Classic Navy,-,Colored Sample
41772053102789,Sample Cloud,41772053102789,Sample,Colored Sample,Cloud,-,Colored Sample
42183742292165,Sample Dark Emerald,42183742292165,Sample,Colored Sample,Dark Emerald,-,Colored Sample
41339628650693,Sample Desert Rose,41339628650693,Sample,Colored Sample,Desert Rose,-,Colored Sample
41772053201093,Sample Espresso,41772053201093,Sample,Colored Sample,Espresso,-,Colored Sample
42183741997253,Sample Ivory,42183741997253,Sample,Colored Sample,Ivory,-,Colored Sample
41339636973765,Sample Lilac,41339636973765,Sample,Colored Sample,Lilac,-,Colored Sample
42178855043269,Sample Naturals Bundle,42178855043269,Sample,Colored Sample,Bundle,-,Colored Sample
41772053135557,Sample Nude,41772053135557,Sample,Colored Sample,Nude,-,Colored Sample
42263813685445,Sample Ocean Blue,42263813685445,Sample,Colored Sample,Ocean Blue,-,Colored Sample
41339628617925,Sample Olive,41339628617925,Sample,Colored Sample,Olive,-,Colored Sample
41772053168325,Sample Pecan,41772053168325,Sample,Colored Sample,Pecan,-,Colored Sample
41339628716229,Sample Pistachio,41339628716229,Sample,Colored Sample,Pistachio,-,Colored Sample
42161749131461,Sample Plum,42161749131461,Sample,Colored Sample,Plum,-,Colored Sample
42169174360261,Sample Pumpkin,42169174360261,Sample,Colored Sample,Pumpkin,-,Colored Sample
42169174098117,Sample Red,42169174098117,Sample,Colored Sample,Red,-,Colored Sample
41339628814533,Sample Sand,41339628814533,Sample,Colored Sample,Sand,-,Colored Sample
41339628748997,Sample Sangria,41339628748997,Sample,Colored Sample,Sangria,-,Colored Sample
41772053070021,Sample Smokey Sage,41772053070021,Sample,Colored Sample,Smokey Sage,-,Colored Sample
42178855076037,Sample The Pastels Bundle,42178855076037,Sample,Colored Sample,Bundle,-,Colored Sample
41339636908229,Sample White,41339636908229,Sample,Colored Sample,Scent Free,-,Colored Sample
42176568885445,Sample Scent Bundle,42176568885445,Sample,Scent Sample,Bundle,-,Scent Sample
42347175903429,Sample Holiday Scent Bundle,42347175903429,Sample,Scent Sample,Bundle,-,Scent Sample
41339626389701,Scent Sample Dreamy Dunes,41339626389701,Sample,Scent Sample,Dreamy Dunes,-,Scent Sample
41854475206853,Scent Sample Festive Fir,41854475206853,Sample,Scent Sample,Festive Fir,-,Scent Sample
41339626422469,Scent Sample Lazy Lulu,41339626422469,Sample,Scent Sample,Lazy Lulu,-,Scent Sample
41339626455237,Scent Sample Mellow Mocha,41339626455237,Sample,Scent Sample,Mellow Mocha,-,Scent Sample
41339626488005,Scent Sample Misty Monte,41339626488005,Sample,Scent Sample,Misty Monte,-,Scent Sample
41339626520773,Scent Sample Scent Free,41339626520773,Sample,Scent Sample,Scent Free,-,Scent Sample
41339626553541,Scent Sample Sorry Sucker,41339626553541,Sample,Scent Sample,Sorry Sucker,-,Scent Sample
41854475239621,Scent Sample Yummy Yule,41854475239621,Sample,Scent Sample,Yummy Yule,-,Scent Sample
41339626586309,Scent Sample Zest Zen,41339626586309,Sample,Scent Sample,Zesty Zen,-,Scent Sample
42347138384069,Scent Sample Mulled Magic,42347138384069,Sample,Scent Sample,Mulled Magic,-,Scent Sample
41985847001285,Bulk Wicks (100uni),41985847001285,Wicks,Wicks,Wicks (100 units),-,Addicional Wicks
41984216694981,Event Wicks sample,41984216694981,Wicks,Wicks,Wicks (100 units),-,Addicional Wicks
42193617551557,XL Event Wicks (100uni),42193617551557,Wicks,Wicks,Wicks (100 units),-,Addicional Wicks
41984224854213,Event XL Wicks Samples,41984224854213,Wicks,Wicks,Wicks (100 units),-,Addicional Wicks
41134084751557,Extra Wicks (30uni),41134084751557,Wicks,Wicks,Wicks (30 units),-,Addicional Wicks
41961901195461,Extra Wicks (30uni),41134084751557,Wicks,Wicks,Wicks (30 units),-,Addicional Wicks
41972815757509,Event Wicks - 100,41972815757509,Wicks,Wicks,Wicks (100 units),-,Addicional Wicks
41610990452933,55Lb Bulk Bag  Lilac,41960854585541,55lb bulk bag,55lb Bulk Bag,Lilac,-,Colored Products
42345978003653,18oz Box Festive Fir,42345978003653,18oz candle,18oz candle,Festive Fir,B0BLT93JL2,Scent Products
42355999244485,18oz Box Zesty Zen + Vase,40863057608901,18oz candle,18oz candle + Vase,Zesty Zen,-,Scent Products
42355939475653,2gal Pail Scent Free,41236833501381,2gal bucket,2gal Scented,Scent Free,B08QZFNL1F,Scent Products
42355939705029,2gal Pail Zesty Zen,41236833697989,2gal bucket,2gal Scented,Zesty Zen,B0BLT84RR5,Scent Products
42355939639493,2gal Pail Misty Monte,41236833632453,2gal bucket,2gal Scented,Misty Monte,B0BLT4KLZF,Scent Products
42355999015109,18oz Box Scent Free + Vase,40863085854917,18oz candle,18oz candle + Vase,Scent Free,-,Scent Products
42355999113413,18oz Box Lazy Lulu + Vase,40863057477829,18oz candle,18oz candle + Vase,Lazy Lulu,-,Scent Products
42355999178949,18oz Box Misty Monte + Vase,40863057543365,18oz candle,18oz candle + Vase,Misty Monte,-,Scent Products
42356032110789,2gal Pail Mulled Magic + Vase set,42356032110789,2gal bucket,2gal Scented + Vase set,Mulled Magic,-,Scent Products
